timestamp,search_id,nickname,city_code,check_in,check_out,rank,hotel_id,hotel_name,price,currency,room_type
2026-04-19T05:39:47Z,jaipur-nov,Jaipur (November weekend),"hotels in Jaipur, India",2026-11-14,2026-11-16,2,ChkIoqGM7cGn-dR5Gg0vZy8xMXJtcTZ2XzVfEAE,"The Fern Habitat, Jaipur",9756.00,INR,★ 4.5
2026-04-19T05:39:47Z,jaipur-nov,Jaipur (November weekend),"hotels in Jaipur, India",2026-11-14,2026-11-16,3,ChcI2YrBzJ2r6cIgGgsvZy8xdGZ6X2dfehAB,Rajasthan Palace - A Heritage Boutique Hotel in Jaipur,11315.00,INR,★ 4.6
2026-04-19T05:39:47Z,jaipur-nov,Jaipur (November weekend),"hotels in Jaipur, India",2026-11-14,2026-11-16,4,ChcIysTI36u1nMAjGgsvZy8xdGRrM2tfZhAB,"The Fern Jaipur, Series by Marriott",11453.00,INR,★ 4.2
2026-04-19T05:39:47Z,jaipur-nov,Jaipur (November weekend),"hotels in Jaipur, India",2026-11-14,2026-11-16,5,ChgIr6iGrra-z74pGgwvZy8xMmNwY2R3bnIQAQ,Hotel Sarang Palace - Boutique Stays & Candlelight Dining,11807.00,INR,★ 4.4
2026-04-19T05:39:47Z,jaipur-nov,Jaipur (November weekend),"hotels in Jaipur, India",2026-11-14,2026-11-16,6,ChoIwaXyz-PJx4yPARoNL2cvMTF0azhwMXl5MxAB,Holiday Inn Express & Suites Jaipur Gopalpura by IHG,12051.00,INR,★ 4.6
2026-04-19T05:39:47Z,jaipur-nov,Jaipur (November weekend),"hotels in Jaipur, India",2026-11-14,2026-11-16,7,ChkIkajg_PD234bPARoML2cvMXE2M2NqZ19oEAE,WelcomHeritage Traditional Haveli,13524.00,INR,★ 4.6
2026-04-19T05:39:47Z,jaipur-nov,Jaipur (November weekend),"hotels in Jaipur, India",2026-11-14,2026-11-16,8,ChcIwq6nyJSwxtpcGgsvZy8xdnM1djM2eRAB,Umaid Bhawan-A Royal Heritage Style Boutique Hotel,15750.00,INR,★ 4.3
2026-04-19T05:39:47Z,jaipur-nov,Jaipur (November weekend),"hotels in Jaipur, India",2026-11-14,2026-11-16,9,ChgIidumro69j6DvARoLL2cvMXRmNmYweDAQAQ,Jaipur Marriott Hotel,30087.00,INR,★ 4.5
2026-04-20T06:00:19Z,goa-dec,Goa (December break),"hotels in Goa, India",2026-12-20,2026-12-25,1,ChgIsMetgIaih5reARoLL2cvMXRmYzlta3cQAQ,Simrose,25342.00,INR,★ 4.4
2026-04-20T06:00:19Z,goa-dec,Goa (December break),"hotels in Goa, India",2026-12-20,2026-12-25,2,ChoIuofA3fnT-6vZARoNL2cvMTFrcXJ5MjRrcxAB,La Baga Beach Hotel,26806.00,INR,★ 4.6
2026-04-20T06:00:19Z,goa-dec,Goa (December break),"hotels in Goa, India",2026-12-20,2026-12-25,3,ChoIyIyKwdLHuK6aARoNL2cvMTFzcGcwMnA2eRAB,"Amadi Beach Front Resort , Goa | Best Beach Resort in Goa",29768.00,INR,★ 4.3
2026-04-20T06:00:19Z,goa-dec,Goa (December break),"hotels in Goa, India",2026-12-20,2026-12-25,4,ChkIxdrD1oDIusgQGg0vZy8xMWNzcnI5aDV4EAE,Fairfield by Marriott Goa Calangute,44710.00,INR,★ 4.1
2026-04-20T06:00:19Z,goa-dec,Goa (December break),"hotels in Goa, India",2026-12-20,2026-12-25,5,ChgIwaP9z9_GpeyGARoLL2cvMXZ6ZzBwbWcQAQ,Bogmallo Beach Resort - 5 Star Hotel in Goa,53808.00,INR,★ 4.1
2026-04-20T06:00:19Z,goa-dec,Goa (December break),"hotels in Goa, India",2026-12-20,2026-12-25,6,ChoIie2RtLnbvubQARoNL2cvMTFyYnl5Y3lkeBAB,Radisson Resort Goa Baga,56050.00,INR,★ 4.9
2026-04-20T06:00:19Z,goa-dec,Goa (December break),"hotels in Goa, India",2026-12-20,2026-12-25,7,ChgIj5mjn5GAqs4YGgwvZy8xcHR6OHpfN3cQAQ,"Storii By ITC Hotels Shanti Morada, Goa",100638.00,INR,★ 4.7
2026-04-20T06:00:19Z,goa-dec,Goa (December break),"hotels in Goa, India",2026-12-20,2026-12-25,8,ChoIkuWG9_r43pWmARoNL2cvMTFzZmIzOTdnbhAB,JW Marriott Goa,208860.00,INR,★ 4.6
2026-04-20T06:00:19Z,jaipur-nov,Jaipur (November weekend),"hotels in Jaipur, India",2026-11-14,2026-11-16,1,ChkIvOLYg-Kg2-sUGg0vZy8xMXlrNXE3MWdwEAE,TrimHotel GRANDVIEW JAIPUR,5896.00,INR,★ 4.6
2026-04-20T06:00:19Z,jaipur-nov,Jaipur (November weekend),"hotels in Jaipur, India",2026-11-14,2026-11-16,2,ChkIoqGM7cGn-dR5Gg0vZy8xMXJtcTZ2XzVfEAE,"The Fern Habitat, Jaipur",9756.00,INR,★ 4.5
2026-04-20T06:00:19Z,jaipur-nov,Jaipur (November weekend),"hotels in Jaipur, India",2026-11-14,2026-11-16,3,ChgIr6iGrra-z74pGgwvZy8xMmNwY2R3bnIQAQ,Hotel Sarang Palace - Boutique Stays & Candlelight Dining,9777.00,INR,★ 4.4
2026-04-20T06:00:19Z,jaipur-nov,Jaipur (November weekend),"hotels in Jaipur, India",2026-11-14,2026-11-16,4,ChcI2YrBzJ2r6cIgGgsvZy8xdGZ6X2dfehAB,Rajasthan Palace - A Heritage Boutique Hotel in Jaipur,11315.00,INR,★ 4.6
2026-04-20T06:00:19Z,jaipur-nov,Jaipur (November weekend),"hotels in Jaipur, India",2026-11-14,2026-11-16,5,ChcIysTI36u1nMAjGgsvZy8xdGRrM2tfZhAB,"The Fern Jaipur, Series by Marriott",11486.00,INR,★ 4.2
2026-04-20T06:00:19Z,jaipur-nov,Jaipur (November weekend),"hotels in Jaipur, India",2026-11-14,2026-11-16,6,ChoIwaXyz-PJx4yPARoNL2cvMTF0azhwMXl5MxAB,Holiday Inn Express & Suites Jaipur Gopalpura by IHG,11822.00,INR,★ 4.6
2026-04-20T06:00:19Z,jaipur-nov,Jaipur (November weekend),"hotels in Jaipur, India",2026-11-14,2026-11-16,7,ChkIkajg_PD234bPARoML2cvMXE2M2NqZ19oEAE,WelcomHeritage Traditional Haveli,13524.00,INR,★ 4.6
2026-04-20T06:00:19Z,jaipur-nov,Jaipur (November weekend),"hotels in Jaipur, India",2026-11-14,2026-11-16,8,ChcIwq6nyJSwxtpcGgsvZy8xdnM1djM2eRAB,Umaid Bhawan-A Royal Heritage Style Boutique Hotel,15750.00,INR,★ 4.3
2026-04-20T06:00:19Z,jaipur-nov,Jaipur (November weekend),"hotels in Jaipur, India",2026-11-14,2026-11-16,9,ChgIidumro69j6DvARoLL2cvMXRmNmYweDAQAQ,Jaipur Marriott Hotel,30088.00,INR,★ 4.5
2026-04-21T05:38:53Z,goa-dec,Goa (December break),"hotels in Goa, India",2026-12-20,2026-12-25,1,ChoI54HwhLPcpLGzARoNL2cvMTFoNmZsYnQ1XxAB,Aloha Holiday Resort,14070.00,INR,★ 4.4
2026-04-21T05:38:53Z,goa-dec,Goa (December break),"hotels in Goa, India",2026-12-20,2026-12-25,2,ChoIlc_664zR8eSAARoNL2cvMTFjbjk2d19oahAB,ibis Styles Goa Calangute,24621.00,INR,★ 4.7
2026-04-21T05:38:53Z,goa-dec,Goa (December break),"hotels in Goa, India",2026-12-20,2026-12-25,3,ChkI96i6kJOhqOyVARoML2cvMTJobHp6NHY5EAE,Moustache Goa Luxuria,36863.00,INR,★ 4.3
2026-04-21T05:38:53Z,goa-dec,Goa (December break),"hotels in Goa, India",2026-12-20,2026-12-25,4,ChoIyIyKwdLHuK6aARoNL2cvMTFzcGcwMnA2eRAB,"Amadi Beach Front Resort , Goa | Best Beach Resort in Goa",37582.00,INR,★ 4.3
2026-04-21T05:38:53Z,goa-dec,Goa (December break),"hotels in Goa, India",2026-12-20,2026-12-25,5,ChkI6P_r9vvWh-ceGg0vZy8xMWI2X2czMWhxEAE,Riva Beach Resort,39375.00,INR,★ 4.4
2026-04-21T05:38:53Z,goa-dec,Goa (December break),"hotels in Goa, India",2026-12-20,2026-12-25,6,ChkIxdrD1oDIusgQGg0vZy8xMWNzcnI5aDV4EAE,Fairfield by Marriott Goa Calangute,44710.00,INR,★ 4.1
2026-04-21T05:38:53Z,goa-dec,Goa (December break),"hotels in Goa, India",2026-12-20,2026-12-25,7,ChoIie2RtLnbvubQARoNL2cvMTFyYnl5Y3lkeBAB,Radisson Resort Goa Baga,56050.00,INR,★ 4.9
2026-04-21T05:38:53Z,goa-dec,Goa (December break),"hotels in Goa, India",2026-12-20,2026-12-25,8,ChoImf3xx9DdvLKKARoNL2cvMTFjbmM5cHh2aBAB,Radisson Blu Resort Goa Cavelossim Beach,168161.00,INR,★ 4.4
2026-04-21T05:38:53Z,jaipur-nov,Jaipur (November weekend),"hotels in Jaipur, India",2026-11-14,2026-11-16,1,ChgIr6iGrra-z74pGgwvZy8xMmNwY2R3bnIQAQ,Hotel Sarang Palace - Boutique Stays & Candlelight Dining,9777.00,INR,★ 4.4
2026-04-21T05:38:53Z,jaipur-nov,Jaipur (November weekend),"hotels in Jaipur, India",2026-11-14,2026-11-16,2,ChcI2YrBzJ2r6cIgGgsvZy8xdGZ6X2dfehAB,Rajasthan Palace - A Heritage Boutique Hotel in Jaipur,11315.00,INR,★ 4.6
2026-04-21T05:38:53Z,jaipur-nov,Jaipur (November weekend),"hotels in Jaipur, India",2026-11-14,2026-11-16,3,ChcIysTI36u1nMAjGgsvZy8xdGRrM2tfZhAB,"The Fern Jaipur, Series by Marriott",11550.00,INR,★ 4.2
2026-04-21T05:38:53Z,jaipur-nov,Jaipur (November weekend),"hotels in Jaipur, India",2026-11-14,2026-11-16,4,ChkIkajg_PD234bPARoML2cvMXE2M2NqZ19oEAE,WelcomHeritage Traditional Haveli,11946.00,INR,★ 4.6
2026-04-21T05:38:53Z,jaipur-nov,Jaipur (November weekend),"hotels in Jaipur, India",2026-11-14,2026-11-16,5,ChcIwq6nyJSwxtpcGgsvZy8xdnM1djM2eRAB,Umaid Bhawan-A Royal Heritage Style Boutique Hotel,16214.00,INR,★ 4.3
2026-04-21T05:38:53Z,jaipur-nov,Jaipur (November weekend),"hotels in Jaipur, India",2026-11-14,2026-11-16,6,ChgIidumro69j6DvARoLL2cvMXRmNmYweDAQAQ,Jaipur Marriott Hotel,30088.00,INR,★ 4.5
2026-04-21T05:38:53Z,jaipur-nov,Jaipur (November weekend),"hotels in Jaipur, India",2026-11-14,2026-11-16,7,ChoIpY_M0u3R4ajAARoNL2cvMTFqcnFxazdmeRAB,Novotel Jaipur Convention Centre,42952.00,INR,★ 4.7
2026-04-21T05:38:53Z,jaipur-nov,Jaipur (November weekend),"hotels in Jaipur, India",2026-11-14,2026-11-16,8,ChcIxvn2z9fmz8coGgsvZy8xdGR2bjQzdBAB,"ITC Rajputana, a Luxury Collection Hotel, Jaipur",64900.00,INR,★ 4.7
2026-04-21T05:38:53Z,jaipur-nov,Jaipur (November weekend),"hotels in Jaipur, India",2026-11-14,2026-11-16,9,ChgIj6jnuOKj9a-jARoLL2cvMXRkNWRqY2wQAQ,The Lalit Jaipur,67258.00,INR,★ 4.3
2026-04-22T05:37:50Z,goa-dec,Goa (December break),"hotels in Goa, India",2026-12-20,2026-12-25,1,ChoIqcirn97mpdDOARoNL2cvMTF2YjlsbTc4NhAB,Mermaid Avisa Resort,6502.00,INR,★ 4.7
2026-04-22T05:37:50Z,goa-dec,Goa (December break),"hotels in Goa, India",2026-12-20,2026-12-25,2,ChoIuofA3fnT-6vZARoNL2cvMTFrcXJ5MjRrcxAB,La Baga Beach Hotel,24572.00,INR,★ 4.6
2026-04-22T05:37:50Z,goa-dec,Goa (December break),"hotels in Goa, India",2026-12-20,2026-12-25,3,ChoIlc_664zR8eSAARoNL2cvMTFjbjk2d19oahAB,ibis Styles Goa Calangute,24621.00,INR,★ 4.7
2026-04-22T05:37:50Z,goa-dec,Goa (December break),"hotels in Goa, India",2026-12-20,2026-12-25,4,ChgIsMetgIaih5reARoLL2cvMXRmYzlta3cQAQ,Simrose,25342.00,INR,★ 4.4
2026-04-22T05:37:50Z,goa-dec,Goa (December break),"hotels in Goa, India",2026-12-20,2026-12-25,5,ChkIoK3LwcG0796jARoML2cvMWhoaGxoeDU1EAE,Golden Tulip Grand View Resort Candolim Goa,35700.00,INR,★ 4.2
2026-04-22T05:37:50Z,goa-dec,Goa (December break),"hotels in Goa, India",2026-12-20,2026-12-25,6,ChkIxdrD1oDIusgQGg0vZy8xMWNzcnI5aDV4EAE,Fairfield by Marriott Goa Calangute,44710.00,INR,★ 4.1
2026-04-22T05:37:50Z,goa-dec,Goa (December break),"hotels in Goa, India",2026-12-20,2026-12-25,7,ChoIie2RtLnbvubQARoNL2cvMTFyYnl5Y3lkeBAB,Radisson Resort Goa Baga,56050.00,INR,★ 4.9
2026-04-22T05:37:50Z,goa-dec,Goa (December break),"hotels in Goa, India",2026-12-20,2026-12-25,8,ChoIjO6nue2GzKnrARoNL2cvMTF2MHk0czFwaBAB,Hyatt Place Goa Candolim,120132.00,INR,★ 4.4
2026-04-22T05:37:50Z,jaipur-nov,Jaipur (November weekend),"hotels in Jaipur, India",2026-11-14,2026-11-16,1,ChgIr6iGrra-z74pGgwvZy8xMmNwY2R3bnIQAQ,Hotel Sarang Palace - Boutique Stays & Candlelight Dining,9777.00,INR,★ 4.4
2026-04-22T05:37:50Z,jaipur-nov,Jaipur (November weekend),"hotels in Jaipur, India",2026-11-14,2026-11-16,2,ChcI2YrBzJ2r6cIgGgsvZy8xdGZ6X2dfehAB,Rajasthan Palace - A Heritage Boutique Hotel in Jaipur,11315.00,INR,★ 4.6
2026-04-22T05:37:50Z,jaipur-nov,Jaipur (November weekend),"hotels in Jaipur, India",2026-11-14,2026-11-16,3,ChoIwaXyz-PJx4yPARoNL2cvMTF0azhwMXl5MxAB,Holiday Inn Express & Suites Jaipur Gopalpura by IHG,11822.00,INR,★ 4.6
2026-04-22T05:37:50Z,jaipur-nov,Jaipur (November weekend),"hotels in Jaipur, India",2026-11-14,2026-11-16,4,ChkIkajg_PD234bPARoML2cvMXE2M2NqZ19oEAE,WelcomHeritage Traditional Haveli,13230.00,INR,★ 4.6
2026-04-22T05:37:50Z,jaipur-nov,Jaipur (November weekend),"hotels in Jaipur, India",2026-11-14,2026-11-16,5,ChcIwq6nyJSwxtpcGgsvZy8xdnM1djM2eRAB,Umaid Bhawan-A Royal Heritage Style Boutique Hotel,17833.00,INR,★ 4.3
2026-04-22T05:37:50Z,jaipur-nov,Jaipur (November weekend),"hotels in Jaipur, India",2026-11-14,2026-11-16,6,ChgIy7ny-b7Em_diGgwvZy8xcTY3aHE4Y3YQAQ,"Holiday Inn Jaipur City Centre, an IHG Hotel",22694.00,INR,★ 4.6
2026-04-22T05:37:50Z,jaipur-nov,Jaipur (November weekend),"hotels in Jaipur, India",2026-11-14,2026-11-16,7,ChgIidumro69j6DvARoLL2cvMXRmNmYweDAQAQ,Jaipur Marriott Hotel,30088.00,INR,★ 4.5
2026-04-22T05:37:50Z,jaipur-nov,Jaipur (November weekend),"hotels in Jaipur, India",2026-11-14,2026-11-16,8,ChcIxvn2z9fmz8coGgsvZy8xdGR2bjQzdBAB,"ITC Rajputana, a Luxury Collection Hotel, Jaipur",64900.00,INR,★ 4.7
2026-04-23T05:42:04Z,goa-dec,Goa (December break),"hotels in Goa, India",2026-12-20,2026-12-25,1,ChoIqcirn97mpdDOARoNL2cvMTF2YjlsbTc4NhAB,Mermaid Avisa Resort,6502.00,INR,★ 4.7
2026-04-23T05:42:04Z,goa-dec,Goa (December break),"hotels in Goa, India",2026-12-20,2026-12-25,2,ChkI96i6kJOhqOyVARoML2cvMTJobHp6NHY5EAE,Moustache Goa Luxuria,22014.00,INR,★ 4.3
2026-04-23T05:42:04Z,goa-dec,Goa (December break),"hotels in Goa, India",2026-12-20,2026-12-25,3,ChoIuofA3fnT-6vZARoNL2cvMTFrcXJ5MjRrcxAB,La Baga Beach Hotel,24572.00,INR,★ 4.6
